[⿰忄厥]丁	撅丁
[⿰扌棄]	判
㑳	㥮
㑳𢠳𢠳	㥮
㥮	㥮
㥮𢠳	㥮
㬠	賽
㾕㾕	噤㾕
一了	一了
一剗	一剗
一向（一）	一向（一）
一向（三）	一向（三）
一向（二）	一向（二）
一川	一川
一弄	一弄
一投	投
一晌	一向（三）
一曏	一向（三）
一種	一種
一等（一）	一等（一）
一等（二）	一等（二）
一頭	投
一餉	一向（三）
三不歸	三不歸
三不知	三不知
三衙家	三衙家
下得	下得
下的	下得
下裏	下裏
不中	不中
不乾淨	無乾淨
不付得	甫能
不付能	甫能
不伏燒埋	不伏燒埋
不倈	不剌（一）
不倒	不倒
不分	分（二）
不到得	不到（二）
不到的	不到（二）
不到（一）	不到（一）
不到（二）	不到（二）
不則	則（三）
不剌（一）	不剌（一）
不剌（二）	不剌（二）
不劣方頭	方頭不劣
不律頭	方頭不劣
不快	快（一）
不忿	分（二）
不憤	分（二）
不應（一）	不應（一）
不應（三）	不應（三）
不應（二）	不應（二）
不應（四）	不應（四）
不成	不成
不戲	可喜
不是處	無是處
不沙	不剌（一）
不然	不然
不爭（一）	不爭（一）
不爭（三）	不爭（三）
不爭（二）	不爭（二）
不甫能	甫能
不當	不當
不覩事	不覩事
不覩是	不覩事
不賭是	不覩事
不賭時	不覩事
不足	不足
不迭	迭（一）
不道的	道（三）
不道（一）	不道（一）
不道（三）	不道（三）
不道（二）	不道（二）
不道（五）	不道（五）
不道（四）	不道（四）
不錯	不錯
且可	且可
且是	且（三）
且是娘	娘
且道	且道
且（一）	且（一）
且（三）	且（三）
且（二）	且（二）
且（五）	且（五）
且（六）	且（六）
且（四）	且（四）
世（一）	世（一）
世（二）	世（二）
个	箇（一）
中	中
之箇	則箇
乍	乍可（二）
乍可（一）	乍可（一）
乍可（二）	乍可（二）
乍能	乍可（二）
乍（一）	乍（一）
乍（三）	乍（三）
乍（二）	乍（二）
乜斜	乜斜
九伯	九百
九百	九百
九陌	九百
也	也
也波	也
也那	也
也麽	也
二四	二四
五代史	五代史
些娘	娘
亞	亞
交	敎（二）
人人	人人
什麽娘	娘
今來	卽今
他娘	娘
他誰	他誰
付能	甫能
任從	從
伊	伊
伊家	伊
休	休
休務	休務
伶俐	伶俐
似（一）	似（一）
似（二）	似（二）
佐	佐
何向	向（二）
何當（一）	何當（一）
何當（三）	何當（三）
何當（二）	何當（二）
何當（五）	何當（五）
何當（四）	何當（四）
何許	許（二）
作麽	作麽
作麽生	作麽
你娘	娘
使作	使作
使數	使數
使長	侍長
來	來
來日	來日
侍長	侍長
依黯	依黯
便做道	做
便則道	做
便好道	便好道
便（一）	便（一）
便（二）	便（二）
俏	誚
保彈	包彈
保重	珍重
信	信
倈	來
個	箇（一）
倒	倒
倒大	倒大
倒大來	倒大
倒指	倒指
倒換	倒
倒斷	倒斷
倖薄	薄倖
假	價
假饒	饒（五）
做	做
傒倖	傒倖
僅	僅
僝僽（一）	僝僽（一）
僝僽（三）	僝僽（三）
僝僽（二）	僝僽（二）
僝僽（四）	僝僽（四）
價	價
兀剌	兀良
兀子	兀自
兀底	兀的
兀得	兀的
兀然	兀自
兀的	兀的
兀自	兀自
兀良	兀良
兀誰	兀誰
兀那	兀那
先	先
先來	先
先自	先
兒夫	兒夫
兒男	兒男
入務	休務
全	全
兩事家	兩事家
八十孩兒	八十孩兒
八陽經	五代史
共	共
其實	其實
其程	其程
其間	其間
其高	其高
冥子裏	酩子裏
凝	凝
凝竚	凝竚
出來	出來
出落	出落
出醜揚疾	唱叫揚疾
刁蹬	刁𩍐
刁𩍐	刁𩍐
分付	分付
分（一）	分（一）
分（二）	分（二）
判	判
判斷	判斷
別	鼈
到了	到了
到頭	到頭
